chapter,sense,lemma,sentence,sentence_start_char,sentence_end_char
4,SOUND,blast,"A ridge of lighted heath, alive, glancing, devouring, would have been a meet emblem of my mind when I accused and menaced Mrs. Reed: the same ridge, black and blasted after the flames are dead, would have represented as meetly my subsequent condition, when half-an-hour’s silence and reflection had shown me the madness of my conduct, and the dreariness of my hated and hating position.",26660,27048
4,SOUND,whisper,"I stood, a wretched child enough, whispering to myself over and over again, “What shall I do?—what shall I do?” All at once I heard a clear voice call, “Miss Jane!",28611,28775
4,SOUND,hear,"I stood, a wretched child enough, whispering to myself over and over again, “What shall I do?—what shall I do?” All at once I heard a clear voice call, “Miss Jane!",28611,28775
4,SOUND,voice,"I stood, a wretched child enough, whispering to myself over and over again, “What shall I do?—what shall I do?” All at once I heard a clear voice call, “Miss Jane!",28611,28775
5,SOUND,voice,"“Ay, ay!” was the answer: the door was slapped to, a voice exclaimed “All right,” and on we drove.",2778,2876
5,SOUND,sound,"At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——. The afternoon came on wet and somewhat misty: as it waned into dusk, I began to feel that we were getting very far indeed from Gateshead: we ceased to pass through towns; the country changed; great grey hills heaved up round the horizon: as twilight deepened, we descended a valley, dark with wood, and long after night had overclouded the prospect, I heard a wild wind rushing amongst trees.",3833,4410
5,SOUND,rattle,"At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——. The afternoon came on wet and somewhat misty: as it waned into dusk, I began to feel that we were getting very far indeed from Gateshead: we ceased to pass through towns; the country changed; great grey hills heaved up round the horizon: as twilight deepened, we descended a valley, dark with wood, and long after night had overclouded the prospect, I heard a wild wind rushing amongst trees.",3833,4410
5,SOUND,hear,"At last the guard returned; once more I was stowed away in the coach, my protector mounted his own seat, sounded his hollow horn, and away we rattled over the “stony street” of L——. The afternoon came on wet and somewhat misty: as it waned into dusk, I began to feel that we were getting very far indeed from Gateshead: we ceased to pass through towns; the country changed; great grey hills heaved up round the horizon: as twilight deepened, we descended a valley, dark with wood, and long after night had overclouded the prospect, I heard a wild wind rushing amongst trees.",3833,4410
5,SOUND,sound,"Lulled by the sound, I at last dropped asleep; I had not long slumbered when the sudden cessation of motion awoke me; the coach-door was open, and a person like a servant was standing at it: I saw her face and dress by the light of the lamps.",4410,4654
5,SOUND,noise,"I was stiff with long sitting, and bewildered with the noise and motion of the coach: gathering my faculties, I looked about me.",4819,4947
5,SOUND,voice,"The lady I had left might be about twenty-nine; the one who went with me appeared some years younger: the first impressed me by her voice, look, and air.",6871,7024
5,SOUND,hum,"Led by her, I passed from compartment to compartment, from passage to passage, of a large and irregular building; till, emerging from the total and somewhat dreary silence pervading that portion of the house we had traversed, we came upon the hum of many voices, and presently entered a wide, long room, with great deal tables, two at each end, on each of which burnt a pair of candles, and seated all round on benches, a congregation of girls of every age, from nine or ten to twenty.",7274,7759
5,SOUND,voice,"Led by her, I passed from compartment to compartment, from passage to passage, of a large and irregular building; till, emerging from the total and somewhat dreary silence pervading that portion of the house we had traversed, we came upon the hum of many voices, and presently entered a wide, long room, with great deal tables, two at each end, on each of which burnt a pair of candles, and seated all round on benches, a congregation of girls of every age, from nine or ten to twenty.",7274,7759
5,SOUND,hum,"It was the hour of study; they were engaged in conning over their to-morrow’s task, and the hum I had heard was the combined result of their whispered repetitions.",7971,8136
5,SOUND,hear,"It was the hour of study; they were engaged in conning over their to-morrow’s task, and the hum I had heard was the combined result of their whispered repetitions.",7971,8136
5,SOUND,whisper,"It was the hour of study; they were engaged in conning over their to-morrow’s task, and the hum I had heard was the combined result of their whispered repetitions.",7971,8136
5,SOUND,hear,"The night passed rapidly: I was too tired even to dream; I only once awoke to hear the wind rave in furious gusts, and the rain fall in torrents, and to be sensible that Miss Miller had taken her place by my side.",9540,9753
5,SOUND,hum,"A pause of some seconds succeeded, filled up by the low, vague hum of numbers; Miss Miller walked from class to class, hushing this indefinite sound.",10718,10869
5,SOUND,sound,"A pause of some seconds succeeded, filled up by the low, vague hum of numbers; Miss Miller walked from class to class, hushing this indefinite sound.",10718,10869
5,SOUND,sound,The indefatigable bell now sounded for the fourth time: the classes were marshalled and marched into another room to breakfast: how glad I was to behold a prospect of getting something to eat!,11439,11631
5,SOUND,whisper,"I saw a universal manifestation of discontent when the fumes of the repast met the nostrils of those destined to swallow it; from the van of the procession, the tall girls of the first class, rose the whispered words— “Disgusting!",11882,12113
5,SOUND,voice,"ejaculated a voice; not that of Miss Miller, but one of the upper teachers, a little and dark personage, smartly dressed, but of somewhat morose aspect, who installed herself at the top of one table, while a more buxom lady presided at the other.",12156,12402
5,SOUND,whisper,"I was one of the last to go out, and in passing the tables, I saw one teacher take a basin of the porridge and taste it; she looked at the others; all their countenances expressed displeasure, and one of them, the stout one, whispered— “Abominable stuff!",13371,13626
5,SOUND,hear,I heard the name of Mr. Brocklehurst pronounced by some lips; at which Miss Miller shook her head disapprovingly; but she made no great effort to check the general wrath; doubtless she shared in it.,14125,14325
5,SOUND,hear,I had heard no order given: I was puzzled.,15802,15844
5,SOUND,voice,"The tumult of cessation from lessons was already breaking forth, but it sank at her voice.",18092,18182
5,SOUND,tone,"“It is to be done on my responsibility,” she added, in an explanatory tone to them, and immediately afterwards left the room.",18403,18530
5,SOUND,hear,"The stronger among the girls ran about and engaged in active games, but sundry pale and thin ones herded together for shelter and warmth in the verandah; and amongst these, as the dense mist penetrated to their shivering frames, I heard frequently the sound of a hollow cough.",19536,19814
5,SOUND,sound,"The stronger among the girls ran about and engaged in active games, but sundry pale and thin ones herded together for shelter and warmth in the verandah; and amongst these, as the dense mist penetrated to their shivering frames, I heard frequently the sound of a hollow cough.",19536,19814
5,SOUND,sound,"I was still pondering the signification of “Institution,” and endeavouring to make out a connection between the first words and the verse of Scripture, when the sound of a cough close behind me made me turn my head.",21212,21427
5,SOUND,attend,"“And what are the other teachers called?” “The one with red cheeks is called Miss Smith; she attends to the work, and cuts out—for we make our own clothes, our frocks, and pelisses, and everything; the little one with black hair is Miss Scatcherd; she teaches history and grammar, and hears the second class repetitions; and the one who wears a shawl, and has a pocket-handkerchief tied to her side with a yellow ribband, is Madame Pierrot: she comes from Lisle, in France, and teaches French.”",24420,24917
5,SOUND,hear,"“And what are the other teachers called?” “The one with red cheeks is called Miss Smith; she attends to the work, and cuts out—for we make our own clothes, our frocks, and pelisses, and everything; the little one with black hair is Miss Scatcherd; she teaches history and grammar, and hears the second class repetitions; and the one who wears a shawl, and has a pocket-handkerchief tied to her side with a yellow ribband, is Madame Pierrot: she comes from Lisle, in France, and teaches French.”",24420,24917
5,SOUND,sound,But at that moment the summons sounded for dinner; all re-entered the house.,25533,25609
5,SOUND,hear,I have heard of day-dreams—is she in a day-dream now?,27051,27104
6,SOUND,hear,"At that hour most of the others were sewing likewise; but one class still stood round Miss Scatcherd’s chair reading, and as all was quiet, the subject of their lessons could be heard, together with the manner in which each girl acquitted herself, and the animadversions or commendations of Miss Scatcherd on the performance.",1348,1673
6,SOUND,voice,"The play-hour in the evening I thought the pleasantest fraction of the day at Lowood: the bit of bread, the draught of coffee swallowed at five o’clock had revived vitality, if it had not satisfied hunger: the long restraint of the day was slackened; the schoolroom felt warmer than in the morning—its fires being allowed to burn a little more brightly, to supply, in some measure, the place of candles, not yet introduced: the ruddy gloaming, the licensed uproar, the confusion of many voices gave one a welcome sense of liberty.",4708,5240
6,SOUND,moan,"On the evening of the day on which I had seen Miss Scatcherd flog her pupil, Burns, I wandered as usual among the forms and tables and laughing groups without a companion, yet not feeling lonely: when I passed the windows, I now and then lifted a blind, and looked out; it snowed fast, a drift was already forming against the lower panes; putting my ear close to the window, I could distinguish from the gleeful tumult within, the disconsolate moan of the wind outside.",5240,5711
6,SOUND,howl,"as it was, I derived from both a strange excitement, and reckless and feverish, I wished the wind to howl more wildly, the gloom to deepen to darkness, and the confusion to rise to clamour.",5954,6145
6,SOUND,hear,I heard her with wonder: I could not comprehend this doctrine of endurance; and still less could I understand or sympathise with the forbearance she expressed for her chastiser.,8095,8272
6,SOUND,utterance,"At the utterance of Miss Temple’s name, a soft smile flitted over her grave face.",9136,9219
6,SOUND,listen,"Now, mine continually rove away; when I should be listening to Miss Scatcherd, and collecting all she says with assiduity, often I lose the very sound of her voice; I fall into a sort of dream.",9968,10161
6,SOUND,sound,"Now, mine continually rove away; when I should be listening to Miss Scatcherd, and collecting all she says with assiduity, often I lose the very sound of her voice; I fall into a sort of dream.",9968,10161
6,SOUND,voice,"Now, mine continually rove away; when I should be listening to Miss Scatcherd, and collecting all she says with assiduity, often I lose the very sound of her voice; I fall into a sort of dream.",9968,10161
6,SOUND,noise,"Sometimes I think I am in Northumberland, and that the noises I hear round me are the bubbling of a little brook which runs through Deepden, near our house;—then, when it comes to my turn to reply, I have to be awakened; and having heard nothing of what was read for listening to the visionary brook, I have no answer ready.”",10162,10489
6,SOUND,hear,"Sometimes I think I am in Northumberland, and that the noises I hear round me are the bubbling of a little brook which runs through Deepden, near our house;—then, when it comes to my turn to reply, I have to be awakened; and having heard nothing of what was read for listening to the visionary brook, I have no answer ready.”",10162,10489
6,SOUND,hear,"Sometimes I think I am in Northumberland, and that the noises I hear round me are the bubbling of a little brook which runs through Deepden, near our house;—then, when it comes to my turn to reply, I have to be awakened; and having heard nothing of what was read for listening to the visionary brook, I have no answer ready.”",10162,10489
6,SOUND,listen,"Sometimes I think I am in Northumberland, and that the noises I hear round me are the bubbling of a little brook which runs through Deepden, near our house;—then, when it comes to my turn to reply, I have to be awakened; and having heard nothing of what was read for listening to the visionary brook, I have no answer ready.”",10162,10489
6,SOUND,hear,"Helen heard me patiently to the end: I expected she would then make a remark, but she said nothing.",13522,13623
6,SOUND,sigh,"Helen sighed as her reverie fled, and getting up, obeyed the monitor without reply as without delay.",15921,16021
7,SOUND,listen,"The Sunday evening was spent in repeating, by heart, the Church Catechism, and the fifth, sixth, and seventh chapters of St. Matthew; and in listening to a long sermon, read by Miss Miller, whose irrepressible yawns attested her weariness.",3356,3595
7,SOUND,listen,"I listened too; and as I happened to be seated quite at the top of the room, I caught most of what he said: its import relieved me from immediate apprehension.",6014,6175
7,SOUND,attend,"“Your directions shall be attended to, sir,” said Miss Temple.",6966,7030
7,SOUND,hear,"They ought to have come a little sooner to have heard his lecture on dress, for they were splendidly attired in velvet, silk, and furs.",12523,12658
7,SOUND,listen,"They now proceeded to address divers remarks and reproofs to Miss Smith, who was charged with the care of the linen and the inspection of the dormitories: but I had no time to listen to what they said; other matters called off and enchanted my attention.",13417,13673
7,SOUND,breath,"And before I could draw breath, “I must not forget I have a word to say respecting her.”",14447,14535
7,SOUND,whisper,"Of my own accord I could not have stirred; I was paralysed: but the two great girls who sat on each side of me, set me on my legs and pushed me towards the dread judge, and then Miss Temple gently assisted me to his very feet, and I caught her whispered counsel— “Don’t be afraid, Jane, I saw it was an accident; you shall not be punished.”",14625,14968
7,SOUND,whisper,The kind whisper went to my heart like a dagger.,14968,15018
7,SOUND,note,"And I was placed there, by whom I don’t know: I was in no condition to note particulars; I was only aware that they had hoisted me up to the height of Mr. Brocklehurst’s nose, that he was within a yard of me, and that a spread of shot orange and purple silk pelisses and a cloud of silvery plumage extended and waved below me.",15363,15691
7,SOUND,whisper,"Now came a pause of ten minutes, during which I, by this time in perfect possession of my wits, observed all the female Brocklehursts produce their pocket-handkerchiefs and apply them to their optics, while the elderly lady swayed herself to and fro, and the two younger ones whispered, “How shocking!”",17282,17586
7,SOUND,breath,"What my sensations were, no language can describe; but just as they all rose, stifling my breath and constricting my throat, a girl came up and passed me: in passing, she lifted her eyes.",18775,18962
7,SOUND,hear,Yet at that moment Helen Burns wore on her arm “the untidy badge;” scarcely an hour ago I had heard her condemned by Miss Scatcherd to a dinner of bread and water on the morrow because she had blotted an exercise in copying it out.,19675,19906
8,SOUND,hear,"Why, there are only eighty people who have heard you called so, and the world contains hundreds of millions.”",1928,2039
8,SOUND,hear,"“Did she not, then, adopt you of her own accord?” “No, ma’am; she was sorry to have to do it: but my uncle, as I have often heard the servants say, got her to promise before he died that she would always keep me.”",6460,6676
8,SOUND,sound,"Thus restrained and simplified, it sounded more credible: I felt as I went on that Miss Temple fully believed me.",7445,7560
8,SOUND,statement,"I had finished: Miss Temple regarded me a few minutes in silence; she then said— “I know something of Mr. Lloyd; I shall write to him; if his reply agrees with your statement, you shall be publicly cleared from every imputation; to me, Jane, you are clear now.”",8000,8264
8,SOUND,hear,"Miss Temple got up, took her hand and examined her pulse; then she returned to her own seat: as she resumed it, I heard her sigh low.",8729,8862
8,SOUND,sigh,"Miss Temple got up, took her hand and examined her pulse; then she returned to her own seat: as she resumed it, I heard her sigh low.",8729,8862
8,SOUND,hear,"Tea over and the tray removed, she again summoned us to the fire; we sat one on each side of her, and now a conversation followed between her and Helen, which it was indeed a privilege to be admitted to hear.",10769,10979
8,SOUND,listen,"Miss Temple had always something of serenity in her air, of state in her mien, of refined propriety in her language, which precluded deviation into the ardent, the excited, the eager: something which chastened the pleasure of those who looked on her and listened to her, by a controlling sense of awe; and such was my feeling now: but as to Helen Burns, I was struck with wonder.",10979,11360
8,SOUND,hear,They conversed of things I had never heard of; of nations and times past; of countries far away; of secrets of nature discovered or guessed at: they spoke of books: how many they had read!,12342,12530
8,SOUND,sound,"Then they seemed so familiar with French names and French authors: but my amazement reached its climax when Miss Temple asked Helen if she sometimes snatched a moment to recall the Latin her father had taught her, and taking a book from a shelf, bade her read and construe a page of Virgil; and Helen obeyed, my organ of veneration expanding at every sounding line.",12572,12937
8,SOUND,sigh,Helen she held a little longer than me: she let her go more reluctantly; it was Helen her eye followed to the door; it was for her she a second time breathed a sad sigh; for her she wiped a tear from her cheek.,13123,13335
8,SOUND,hear,"On reaching the bedroom, we heard the voice of Miss Scatcherd: she was examining drawers; she had just pulled out Helen Burns’s, and when we entered Helen was greeted with a sharp reprimand, and told that to-morrow she should have half-a-dozen of untidily folded articles pinned to her shoulder.",13335,13632
8,SOUND,voice,"On reaching the bedroom, we heard the voice of Miss Scatcherd: she was examining drawers; she had just pulled out Helen Burns’s, and when we entered Helen was greeted with a sharp reprimand, and told that to-morrow she should have half-a-dozen of untidily folded articles pinned to her shoulder.",13335,13632
8,SOUND,murmur,"“My things were indeed in shameful disorder,” murmured Helen to me, in a low voice: “I intended to have arranged them, but I forgot.”",13632,13767
8,SOUND,voice,"“My things were indeed in shameful disorder,” murmured Helen to me, in a low voice: “I intended to have arranged them, but I forgot.”",13632,13767
8,SOUND,murmur,"The teachers then shook hands with me and kissed me, and a murmur of pleasure ran through the ranks of my companions.",14813,14932
9,SOUND,sound,"That beck itself was then a torrent, turbid and curbless: it tore asunder the wood, and sent a raving sound through the air, often thickened with wild rain or whirling sleet; and for the forest on its banks, _that_ showed only ranks of skeletons.",1607,1855
9,SOUND,hear,"Some years older than I, she knew more of the world, and could tell me many things I liked to hear: with her my curiosity found gratification: to my faults also she gave ample indulgence, never imposing curb or rein on anything I said.",6331,6566
9,SOUND,note,"I was noting these things and enjoying them as a child might, when it entered my mind as it had never done before:— “How sad to be lying now on a sick bed, and to be in danger of dying!",9526,9713
9,SOUND,hear,"While pondering this new idea, I heard the front door open; Mr. Bates came out, and with him was a nurse.",10260,10365
9,SOUND,hear,"An odour of camphor and burnt vinegar warned me when I came near the fever room: and I passed its door quickly, fearful lest the nurse who sat up all night should hear me.",12146,12317
9,SOUND,noise,"Having descended a staircase, traversed a portion of the house below, and succeeded in opening and shutting, without noise, two doors, I reached another flight of steps; these I mounted, and then just opposite to me was Miss Temple’s room.",12485,12724
9,SOUND,whisper,"I whispered softly, “are you awake?”",13706,13744
9,SOUND,voice,"she asked, in her own gentle voice.",13933,13970
9,SOUND,hear,It is past eleven o’clock: I heard it strike some minutes since.”,14269,14336
9,SOUND,hear,"I heard you were very ill, and I could not sleep till I had spoken to you.” “You came to bid me good-bye, then: you are just in time probably.”",14363,14509
9,SOUND,whisper,"While I tried to devour my tears, a fit of coughing seized Helen; it did not, however, wake the nurse; when it was over, she lay some minutes exhausted; then she whispered— “Jane, your little feet are bare; lie down and cover yourself with my quilt.”",14642,14895
9,SOUND,hear,"After a long silence, she resumed, still whispering— “I am very happy, Jane; and when you hear that I am dead, you must be sure and not grieve: there is nothing to grieve about.",14958,15136
9,SOUND,tone,"Presently she said, in the sweetest tone— “How comfortable I am!",16616,16681
10,SOUND,voice,"I had had no communication by letter or message with the outer world: school-rules, school-duties, school-habits and notions, and voices, and faces, and phrases, and costumes, and preferences, and antipathies—such was what I knew of existence.",5931,6174
10,SOUND,strain,"Miss Gryce snored at last; she was a heavy Welshwoman, and till now her habitual nasal strains had never been regarded by me in any other light than as a nuisance; to-night I hailed the first deep notes with satisfaction; I was debarrassed of interruption; my half-effaced thought instantly revived.",7082,7383
